intptlat,intptlong,zcta5
42.10679245,-71.63051605,1525
42.19224548,-71.77764893,1527
42.03664017,-71.57878113,1529
42.31912613,-72.1308136,1531
42.32334137,-71.6462326,1532
42.14207458,-71.64334869,1534
42.26756287,-72.06687927,1535
42.23130798,-71.69264221,1536
42.15896606,-71.89704895,1537
42.11626434,-71.85746765,1540
42.45412445,-71.87754059,1541
42.20425034,-71.90890503,1542
42.38828659,-71.96986389,1543
42.28476715,-71.71422577,1545
42.05973816,-72.03390503,1550
42.17539597,-71.67422485,1560
42.44396973,-71.68558502,1561
42.24721146,-71.99186707,1562
42.44792557,-71.77604675,1564
42.10321426,-72.07954407,1566
42.17652512,-71.60358429,1568
42.05593109,-71.63123322,1569
42.04753113,-71.84695435,1570
42.0537796,-71.93507385,1571
42.26842499,-71.61331177,1581
42.36941528,-71.78503418,1583
42.24079514,-72.16264343,1585
42.11879349,-71.67249298,1588
42.13204956,-71.75032043,1590
42.26918793,-71.8507309,1602
42.24382782,-71.84356689,1603
42.25325394,-71.76795959,1604
42.2896843,-71.78779602,1605
42.3152504,-71.79573822,1606
42.22597504,-71.78889465,1607
42.26197815,-71.80146027,1608
42.28511429,-71.82998657,1609
42.24704742,-71.80836487,1610
42.23760223,-71.87583923,1611
42.29679871,-71.92899323,1612
42.31958771,-71.44280243,1701
42.28237915,-71.43662262,1702
42.51981735,-71.42928314,1718
42.4859848,-71.52098846,1719
42.48395157,-71.43849182,1720
42.25775528,-71.473526,1721
42.49929428,-71.28189087,1730
42.45675278,-71.27947998,1731
42.43994141,-71.60187531,1740
42.53662109,-71.36183167,1741
42.4629097,-71.36449432,1742
42.29211426,-71.49919891,1745
42.19594955,-71.45343018,1746
42.12300873,-71.53140259,1747
42.22409439,-71.5404892,1748
42.38907242,-71.54586029,1749
42.349617,-71.54721069,1752
42.42595673,-71.45625305,1754
42.09386826,-71.54451752,1756
42.15869141,-71.52141571,1757
42.28482056,-71.34880829,1760
42.23194885,-71.37296295,1770
42.30287552,-71.53083038,1772
42.42550659,-71.3108139,1773
42.4296875,-71.51251221,1775
42.38336563,-71.42106628,1776
42.34368515,-71.38118744,1778
42.48876953,-71.1544342,1801
42.50322723,-71.20171356,1803
42.64804459,-71.16175079,1810
42.54933167,-71.25172424,1821
42.59078979,-71.35517883,1824
42.67972183,-71.30068207,1826
42.67614746,-71.49977112,1827
42.79631424,-71.05343628,1830
42.79111481,-71.13285828,1832
42.72787857,-70.98203278,1833
42.75389862,-71.01593781,1834
42.75123215,-71.09429932,1835
42.70676422,-71.16040039,1840
42.71201324,-71.16487122,1841
42.68997574,-71.16038513,1843
42.74252701,-71.17914581,1844
42.67390823,-71.09133148,1845
42.65604401,-71.30330658,1850
42.62781143,-71.33532715,1851
42.63191223,-71.29602814,1852
42.64948273,-71.34822845,1854
42.83860397,-71.01199341,1860
42.57854462,-71.29559326,1862
42.63378143,-71.38947296,1863
42.57822037,-71.08439636,1864
42.53518295,-71.10542297,1867
42.61180115,-71.22756958,1876
42.66776276,-71.42881775,1879
